loc,lat,long,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
בן עמי,33.0054,35.1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,9.0,28.0,50.0,0.0,0.0
אור הגנוז,33.0052,35.4467,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,8.0,18.0,9.0,0.0,0.0
בית העלמין החדש נהריה,33.005,35.1463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,19.0,0.0,0.0
משמר הירדן,33.0035,35.5983,1.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,7.0,3.0,5.0,1.0,6.0,1.0,0.0,0.0
מרכז אזורי מרום גליל,32.998,35.4415,0.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,7.0,14.0,5.0,0.0,0.0
עמוקה,32.9977,35.5248,1.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,8.0,4.0,6.0,19.0,24.0,7.0,0.0,0.0
חוסן,32.9977,35.2987,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,4.0,16.0,7.0,0.0,0.0
בר יוחאי,32.9977,35.4482,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,8.0,19.0,7.0,0.0,0.0
יחיעם,32.9961,35.2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,7.0,11.0,7.0,0.0,0.0
כפר ורדים,32.9951,35.2691,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,23.0,13.0,0.0,0.0
שייח' דנון,32.9938,35.1486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,4.0,11.0,24.0,0.0,0.0
נתיב השיירה,32.9912,35.1307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,4.0,15.0,28.0,0.0,0.0
עברון,32.9911,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,4.0,6.0,27.0,33.0,0.0,0.0
קצרין,32.991,35.6899,0.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,12.0,4.0,8.0,3.0,11.0,3.0,0.0,0.0
קצרין - אזור תעשייה,32.989259,35.710742,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,12.0,5.0,4.0,3.0,6.0,2.0,0.0,0.0
מחניים,32.9888,35.5704,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,13.0,4.0,0.0,0.0
פקיעין החדשה,32.9882,35.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,5.0,0.0,0.0
מירון,32.9852,35.4416,0.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,7.0,16.0,5.0,0.0,0.0
אזור תעשייה חצור הגלילית,32.9842,35.5521,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,11.0,16.0,6.0,0.0,0.0
מזרעה,32.9837,35.0989,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,6.0,3.0,29.0,30.0,0.0,0.0
כליל,32.9836,35.1997,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0,18.0,19.0,0.0,0.0
שבי ציון,32.9821,35.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,6.0,26.0,24.0,0.0,0.0
ינוח-ג'ת,32.9816,35.2412,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ינוח ג'ת,32.9805,35.2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,12.0,0.0,0.0
קשת,32.9804,35.8085,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
חצור הגלילית,32.9804,35.5435,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,8.0,19.0,28.0,13.0,0.0,0.0
ביריה,32.9781,35.5031,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,14.0,0.0,5.0,30.0,34.0,18.0,0.0,0.0
מנחת מחניים,32.9781,35.572,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,5.0,13.0,4.0,0.0,0.0
עמקה,32.9777,35.1618,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,17.0,0.0,0.0
רגבה,32.9775,35.0991,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,3.0,24.0,31.0,0.0,0.0
מגדל תפן,32.9766793,35.278017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,22.0,8.0,0.0,0.0
פקיעין,32.9762,35.3358,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,5.0,0.0,3.0,12.0,3.0,0.0,0.0
