time,loc,locOrig
17-May-2021 12:30:00,"קרית חינוך מרחבים","קרית חינוך מרחבים"
17-May-2021 12:30:00,"פדויים","פדויים"
17-May-2021 12:30:00,"בטחה","בטחה"
17-May-2021 12:30:00,"מסלול","מסלול"
17-May-2021 12:30:00,"אופקים","אופקים"
17-May-2021 12:30:00,"גילת","גילת"
17-May-2021 12:27:00,"עין השלושה","עין השלושה"
17-May-2021 12:26:00,"כיסופים","כיסופים"
17-May-2021 12:20:00,"עין השלושה","עין השלושה"
17-May-2021 12:20:00,"נירים","נירים"
17-May-2021 12:20:00,"כיסופים","כיסופים"
17-May-2021 12:16:00,"כיסופים","כיסופים"
17-May-2021 12:00:00,"סעד","סעד"
17-May-2021 11:58:00,"נתיב העשרה","נתיב העשרה"
17-May-2021 11:58:00,"אשקלון","אשקלון"
17-May-2021 11:58:00,"זיקים","זיקים"
17-May-2021 11:58:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
17-May-2021 11:58:00,"מבקיעים","מבקיעים"
17-May-2021 11:58:00,"כרמייה","כרמיה"
17-May-2021 11:34:00,"כיסופים","כיסופים"
17-May-2021 11:34:00,"עין השלושה","עין השלושה"
17-May-2021 11:33:00,"כיסופים","כיסופים"
17-May-2021 11:06:00,"ניר יצחק","ניר יצחק"
17-May-2021 11:06:00,"תלמי יוסף","תלמי יוסף"
17-May-2021 11:06:00,"דקל","דקל"
17-May-2021 11:06:00,"יבול","יבול"
17-May-2021 11:06:00,"סופה","סופה"
17-May-2021 11:06:00,"כרם שלום","כרם שלום"
17-May-2021 11:06:00,"חולית","חולית"
17-May-2021 11:06:00,"פרי גן","פרי גן"
17-May-2021 11:06:00,"שדי אברהם","שדה אברהם"
17-May-2021 11:06:00,"יתד","אבשלום"
17-May-2021 11:06:00,"יתד","יתד"
17-May-2021 09:34:00,"חולית","חולית"
17-May-2021 09:34:00,"סופה","סופה"
17-May-2021 07:01:00,"כרם שלום","כרם שלום"
17-May-2021 03:48:00,"סעד","סעד"
17-May-2021 03:48:00,"כפר עזה","כפר עזה"
17-May-2021 03:48:00,"מעגלים","מעגלים גבעולים מלילות"
17-May-2021 03:48:00,"שוקדה","שוקדה"
17-May-2021 03:48:00,"עלומים","עלומים"
17-May-2021 03:48:00,"כפר מימון ותושיה","כפר מימון ותושיה"
17-May-2021 03:48:00,"נחל עוז","נחל עוז"
17-May-2021 03:48:00,"תקומה","תקומה"
17-May-2021 03:48:00,"תקומה","תקומה וחוות יזרעם"
17-May-2021 03:48:00,"נתיבות","נתיבות"
17-May-2021 03:48:00,"זמרת ושובה","זמרת ושובה"
17-May-2021 01:16:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
17-May-2021 01:16:00,"אשקלון","אשקלון"
17-May-2021 01:15:00,"ברכיה","ברכיה"
17-May-2021 01:15:00,"הודייה","הודיה"
17-May-2021 01:15:00,"משען","משען"
17-May-2021 01:15:00,"בית שקמה","בת הדר"
17-May-2021 01:15:00,"בית שקמה","בית שקמה"
17-May-2021 01:15:00,"גיאה","גיאה"
17-May-2021 01:15:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
17-May-2021 01:15:00,"כפר סילבר","כפר סילבר"
17-May-2021 01:15:00,"אשקלון","אזור תעשייה צפוני אשקלון"
17-May-2021 01:15:00,"אשקלון","אשקלון"
17-May-2021 01:15:00,"מבקיעים","מבקיעים"
17-May-2021 00:44:00,"זמרת ושובה","זמרת ושובה"
17-May-2021 00:44:00,"בית הגדי","בית הגדי"
17-May-2021 00:44:00,"כפר מימון ותושיה","כפר מימון ותושיה"
17-May-2021 00:44:00,"בארי","בארי"
17-May-2021 00:44:00,"נתיבות","נתיבות"
17-May-2021 00:44:00,"שוקדה","שוקדה"
17-May-2021 00:31:00,"בית הגדי","בית הגדי"
17-May-2021 00:31:00,"שרשרת","שרשרת"
17-May-2021 00:31:00,"נתיבות","נתיבות"
17-May-2021 00:31:00,"שיבולים","שיבולים"
17-May-2021 00:31:00,"מעגלים","מעגלים גבעולים מלילות"
17-May-2021 00:31:00,"אופקים","אופקים"
17-May-2021 00:31:00,"גילת","גילת"
17-May-2021 00:02:00,"באר שבע","באר שבע - מערב"
17-May-2021 00:02:00,"באר שבע","באר שבע - דרום"
17-May-2021 00:02:00,"חצרים","חצרים"
17-May-2021 00:02:00,"באר שבע","באר שבע - צפון"
16-May-2021 23:59:00,"באר שבע","באר שבע - צפון"
16-May-2021 23:59:00,"מולדה, אל-סייד והפזורה","מולדה, אל-סייד והפזורה"
16-May-2021 23:59:00,"עומר","עומר"
16-May-2021 23:59:00,"לקיה","לקיה והפזורה"
16-May-2021 23:59:00,"תל שבע","אום בטין והפזורה"
16-May-2021 23:26:00,"אשקלון","אשקלון"
16-May-2021 23:26:00,"זיקים","זיקים"
16-May-2021 23:26:00,"כרמייה","כרמיה"
16-May-2021 23:26:00,"נתיב העשרה","נתיב העשרה"
16-May-2021 23:26:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 21:44:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
16-May-2021 21:44:00,"נתיב העשרה","נתיב העשרה"
16-May-2021 21:44:00,"זיקים","זיקים"
16-May-2021 21:07:00,"אשדוד","אשדוד - אזור תעשייה צפוני ונ"
16-May-2021 21:05:00,"בית הגדי","בית הגדי"
16-May-2021 21:05:00,"עלומים","עלומים"
16-May-2021 21:05:00,"סעד","סעד"
16-May-2021 21:05:00,"זמרת ושובה","זמרת ושובה"
16-May-2021 21:05:00,"שוקדה","שוקדה"
16-May-2021 21:05:00,"כפר מימון ותושיה","כפר מימון ותושיה"
16-May-2021 21:05:00,"תקומה","תקומה וחוות יזרעם"
16-May-2021 21:05:00,"נתיבות","נתיבות"
16-May-2021 21:05:00,"תקומה","תקומה"
16-May-2021 20:58:00,"זיקים","זיקים"
16-May-2021 20:58:00,"נתיב העשרה","נתיב העשרה"
